movieCd,movieNm
20110461,카보베르데로의 여행
2024A051,별은 내 가슴에
20246570,식스
20246558,아타 
20112542,틴틴 : 유니콘호의 비밀
20246459,2월
20183491,화장실 러브스토리
20165705,섹시 캣
20110283,하데비치
20130601,뜨거운 욕망
20130170,바디 앤 안티바디
20131061,스위트 카르마
20098216,부기우기: 상위 1%의 섹스
20139843,밀프
20130864,밝히는 가족의 섹스 스토리
20137863,남자 대 여자: 섹스가 문제다
20170308,처녀들의 만찬
20120712,원나잇스탠드(Episode 3.)
20120709,원나잇스탠드(Episode 2.)
20120706,원나잇스탠드(Episode 1.)
20152702,저스트 원나잇
20136423,원나잇 
20123322,칼리지
20120101,섹스 주식회사
20142582,자매의 금지된 욕망
20122402,일요일
20090668,호랑이 정신
20136009,나쁜여자
2010G741,18禁 린코
20100006,섹스 앤 데스
20112934,완벽한 파트너
20246035,그러므로 노이즈가 말한다
20135791,후킹업
20113805,완벽한 파트너-감독판
20078917,남과 여
20127667,캣 런
20126668,"섹스, 거짓말 그리고 비디오 테이프"
20136253,더 시터
20125046,크레이지 호스
20111826,너무 밝히는 소녀 알마
20137828,에로틱 캠프
20139923,치어리더 캠프
20134321,더 피플 아이브 슬렙 위드
20132721,비키니 대작전
20245942,라 루나
20245941,구름 조금
20245940,프레스토
20088428,음란한사회
20070489,이브의 유혹 - 키스
20070490,이브의 유혹 - 그녀만의 테크닉
20070290,이브의 유혹
2010A381,리얼리티섹스-사각속의정사
20142502,변태여고생 왕가슴사야카
20142583,에로만화원작 변태두꺼비교사
2010A626,망사뚫고튀어나온젖꼭지
2022C290,헥토파스칼: 폭풍정사 무삭제
20081654,"빗자루, 금붕어 되다"
20134204,사오리의 비뇨기과
20114749,아오이 소라의 은밀한 고백
20124408,마지막 섹스 그리고 사랑
20143702,"금지된 섹스, 스와핑"
20148433,"금지된 섹스, 불륜 무삭제 감독판"
20124418,"금지된 섹스, 불륜"
20129310,위험한 유혹
20125127,교수와 여제자2
20113252,톰보이
20100355,뒤에서 앞에서
20123490,쇼킹 재팬: 색의 나라
20134446,금단의 유혹
20149283,거유 치한극장
20111511,아내의 은밀한 매력
20135067,부부 교환 섹스
20100354,"단지처, 오후의 정사"
20139751,하소연 애인
20124411,치명적 사랑애(愛) 문신2 
20129317,치명적 사랑애愛-문신
20139749,하지마
20126145,오피스 걸의 불륜
20124266,스무살의 정사 
20124416,"간호사, 나츠코의 뜨거운 여름"
20124412,사랑 그리고 불륜
20125330,개인교수 2012
20124470,금병매2
20134445,금병매
20128986,금병매 감독판
20111399,흉터
20100034,채식주의자
20120753,이빨 두 개
20233877,불륜순애
20124114,신과 인간
20156665,러브 호텔 무삭제판
20081397,딱정벌레
20230222,마홍의 집
20119435,야윈가슴
20090667,파주
20244482,지극히 개인적인 즐거움
20244464,귀로
20135195,터커 & 데일 Vs 이블
20070250,해부학 교실
20071068,별별 이야기 2-여섯 빛깔 무지개
20244032,루이스
20141433,루시아
20244041,슬로우 액션
20244025,지속시간-풍경.바위들
20244017,땅의 진동 속으로
20244021,간격-풍경.풋볼장
20243744,정오의 목욕
20243085,"여자, 고아 그리고 호랑이"
20100479,심포니
20243296,나의 플래시 속으로 들어온 개
20243295,겨울이 온다
20243294,숭고한 방학
20243074,파양
20243071,차정희를 찾아서
20100750,집으로 가는 기차
20088458,새벽의 경계
20110285,앙젤리카의 이상한 사례
20242442,천상의 몸
20242365,"정숙씨, 가슴을"
20090237,김씨표류기
20150489,앤디
20126606,당신을 듣다
20119308,안티크라이스트
20125967,멜랑콜리아
20114923,백만엔걸 스즈코
20241654,억눌린 과거
20241682,빌과 밥
20241550,두근두근 어버이연합
20090805,돌멩이의 꿈
20241436,레이디스 데이
20128588,"그 시절, 우리가 좋아했던 소녀"
20241334,가드 독 글로벌 잼
20241333,햄버거가 될 뻔한 젖소
20241310,"산타, 파시스트 시대"
20215164,여자 없는 세상
20240622,다음 층
20134867,집착애 - 빼앗긴 집의 여자 
20157344,풋루즈
20191975,할머니들
20128226,100개의 다른 코
20240071,굿바이 마이 슈즈  
20240072,드라잉
20240059,야우 (夜雨)
20240060,더스트
20240082,폼즈
20070548,6년째 연애중
20100447,산책가
20112495,"힙합, 세상은 너의 것"
20111603,흰머리
20111842,흑백 가족사진
20127790,휴일
20137709,훅트
20112515,후렴은 노래 속의 혁명처럼 일어난다
20111850,황혼 금메달
20100530,화장
20111328,화음
20100592,혼류
20135796,혼돈의시간들
20128097,혼다 - 캐논볼 런
20112448,호치민 루트 +하노이 천변풍경
20112474,호치민 루트
20111179,호접몽
20128092,호반 도시 - 예술
2010A503,호랑이라 불리우는 사나이
20111145,호랑이
20111240,헬로 코코몽
20112687,헤븐
20128088,헝겊조각 베개 친구들 - Ep.11 돌아와요 해님!
20128090,"헝가리 전래동화 - 말하는 포도덩굴, 웃는 사과와 딸랑거리는 복숭아"
20119692,향기의 상실
20111022,행운동 껌소년
20128140,행복한 소원
20128015,행복한 기념일
2010A449,행복의 향기
20119833,행복의 조건
20110437,행복의 경제학
20111613,햄버거의 습격
20110405,핵의 귀환
20111594,해피버스데이
20112530,해적 소굴 잠입기
20116167,해가 지는 아침
20111366,해 질 무렵
20111459,항구이야기 - 파일럿 영상
20127991,항구 이야기
20127804,핫 콘
20078210,핫 라드
20090354,한성이발소
20119824,한국인 이야기
20112463,학생 여기 와서 이 영화 좀 보고가
20111164,하트
20111921,하우스 패밀리
20113261,하드 라이프
20111121,하늘의 노래
20101433,하늘고래
20127895,하누만 챌리사
20112509,하노이 천변풍경
20111817,하녀와 주인
20128085,핌파룸: 세번째 행운
20135706,픽쳐디스
20135666,피아노 조율사
20135662,플리카: 컨츄리 프라이드
20124226,플레이백
20114849,플레이 앤젤스 2편
20114728,플레이 앤젤스 1편
20081784,플랫폼 서울-함양아
20081785,플랫폼 서울-박주연
20111601,플라토
20135667,플라잉 바이
20110403,플라스틱이 뭐야?
20110442,플라스틱 행성
20110326,플라스틱 & 유리 앙상블
20111413,프로젝트: 행복을 찾아서
20135675,프라이트 나이트
20127946,풍랑
20135681,폴린카 살인사건
20127934,폭풍의 눈
20127786,포크송과 발라드
20135702,포커킹
20127810,포커의 지배자
20128131,평생
20127943,평면에의 저항
20113793,편지
20139661,페이트/스테이 나이트 극장판 무한의 검제
20088490,퍼펙트 게임
20144248,패닉 버튼
20110419,판타스틱 전기자동차 드라이브
20112496,판타스틱 신드롬
20124193,파편
20135750,파쿠르
20128071,파차마마
20110353,파이프
20128141,파올로 이야기
20135866,파스샬라
20110345,파리지엥을 팝니다
20127853,파리의 호수
20128138,파란 그림자
20112451,파라다이스 호텔
20111313,파더 앤 시스터(Father and Sister)
20119561,팀워크
20111835,팀
20111402,"트윅슨, 결혼하다"
20110351,트럭 농장
20128128,투애니원 - Hate You
20100862,투실라고
20111641,톱니바퀴 언덕의 섬
20128106,토토
20128095,토요타 프리우스 - 축구 코치
20139071,토와노쿠온 VI : 영원의 구원
20139065,토와노쿠온 V : 쌍절의 복귀
20139062,토와노쿠온 IV : 홍련의 초심
20139063,토와노쿠온 III : 몽환의 연좌
20138837,토와노쿠온 II : 혼돈의 난무
20137553,토와노쿠온 : 물거품의 꽃잎
20113630,토끼굴/<중앙대학교 졸업영화제> 장편 section
20113792,토끼 사냥꾼들
20110462,테클로폴리스
20119654,터키 형님
20128056,태양훔치기
20110431,태양광 택시로 세계일주를
20112720,태권이란소녀
20134418,타이밍
20100562,키스할 것을
20128108,클리오의 부기우기
20128098,클로버 - 웨이 베터
20110380,크릴이 사라졌어요!
20111165,크로우 거리의 봄
20111330,크레센도
20112713,크라임 애프터 크라임
20124254,쿵푸닌자
20111392,쿠키
20113246,콜드 웨더
20110373,코코몽 시즌2 - 음식을 남기지 말아요
20116132,코시안
20100802,코마
20112721,코끼리 옮기기
20127803,캡틴 어썸
20111920,칼끝에 서다
20100208,카멜리아
20110434,카리브 바닷속 에티켓
20110275,카를로스
20111390,카를라와 요나스
20110408,카르페 디엠
20110338,카나트의 청소부
20134847,카 툰:메이터의 놀라운 이야기
20127959,침입하다
20137401,친정에 간 아내
