movieCd,movieNm
19991091,용의자
20246706,포르투갈 파두
19991244,지구의 끝에서
19978205,암화
19960034,지독한 사랑
20246196,프로그맨
19991359,휴머니티
20040806,브랜단 앤 트루디
20010139,러브 앤드 섹스
20000234,8 1/2 우먼
20245938,제리의 게임
19938482,유혹의 오후 2시
20124608,사도유혹
19968563,사모님 열 받았네 2
19968562,사모님 열 받았네
2010A456,일본av 두번섹신걸린 아줌마
2010G452,넘쳐흐르는 일본AV애액녀
2010A309,몸으로한 영업
2010A034,꽉쪼여주는텐프로
2022C071,젖소부인시집갔네
2022C061,젖소부인바람났네11
2022C060,젖소부인바람났네10
2022C070,젖소부인바람났네9
2022C069,젖소부인바람났네8
2022C068,젖소부인바람났네7
2022C067,젖소부인바람났네6
2022C066,젖소부인바람났네5
2022C065,젖소부인바람났네4
2022C064,젖소부인바람났네3
2022C063,젖소부인바람났네2
19958400,젖소부인 바람났네
2010A481,당구대위젖은조개
2010G497,바람난 아랫도리
2010G359,윗집마누라와불륜섹스
20226642,옥보단3-무삭제판
19980245,옥보단 3 
19970244,옥보단 2 
20162737,옥보단 무삭제판
19950291,옥보단
19930058,매춘 3
19900014,매춘시대
19930060,가슴달린 남자
20150846,신 금병매
20161869,신 금병매 2
19960189,금병매 
19970073,요제연담 
2022B512,명탐정 코난: 시한장치의 마천루
19948826,독립시대
20245016,내 부모님의 일기
20244996,기동전사 건담 F91
20137781,와불
20244853,오래된 꿈
19940161,세 가지 색 : 블루
19940321,세 가지 색: 레드
19940225,세 가지 색: 화이트
19970061,우나기
20244477,디스오리언트 익스프레스
19940256,라이온 킹
20244035,눈가리개
20244071,사택
19980036,8월의 크리스마스
20124040,블랙잭
20243492,일본 아방가르드 건축의 3세대들
20243216,시인 구보씨의 하루
19948495,슬픈 열대
20243072,일인칭 복수
19930026,부활의 노래
19940066,나의 즐거운 일기
20128480,빨간 비둘기
20135738,세 번의 삶과 한 번의 죽음
19998063,시실리아!
19928042,안티고네
19920278,유로파
20081691,브레이킹 더 웨이브
20000165,백치들
20000060,어둠속의 댄서
19960126,비포 선라이즈
19990317,링 
19900266,폭풍의 질주
19890023,백치원앙
19900023,우묵배미의 사랑
19930018,뜨거운 비
19900055,신의 이방인
19890048,매매꾼
19958019,두개의 방
20241332,별 방도가 없다면
19980163,여름이야기
19991080,외부공간
20241104,당신의 것
19918207,아이다호
20240600,정상회담
19988244,앨리의 사랑만들기 : 러브 트라이앵글
19920261,론머맨
19910334,사랑을 위하여
19930358,댄서 페이드
19920003,그대안의 블루
19980265,헤모글로빈
19930223,사선에서
19920369,닥터엠
19920119,리버 피닉스의 아이다호
19910045,실크커텐 저편
19940329,나쁜 여자들 
19910227,귀경출사
19910113,산딸기 5
20090213,가유희사
19930233,황비홍4-왕자지풍
19930085,스나이퍼
19910224,신탐격전
19920283,패트리어트 게임
19910132,파자마속의 두 여인
19910044,꽃그늘 속에 부는 바람
19930229,제이제이
19930082,녹정기 2 - 신룡교 
19910269,어머니 나를 다시 사랑해주세요
19910082,제5의 사나이
19980035,여고괴담
19968311,짙은 선홍색
19938017,위대한 강
20240244,넬슨 만델라: 자유를 향한 카운트다운
19958186,네온 바이블
20142864,긴 하루의 끝
20080610,코뮌
20008816,2층에서 들려오는 노래
19950084,쇼생크 탈출
20249765,에반게리온: 데스(트루)²
20060684,히얼 투 히얼
19988403,환타즘 4
19918659,화춘녀
20124450,홍길동 도사학교
19978419,헤븐스 버닝
20124724,햄릿
20128018,해피 보기즈
20110491,해변가 욕망의 소리
20128080,필름은 살아있다: 데즈카 오사무
20135664,피블의 모험2
19928323,플레이보이 삼총사
19898247,폭력교실
20040814,패스트 푸드 패스트 우먼
20101298,팔꿈치로 치기
20137770,파멜라의 본능 2
20060861,특별한 요리
20124868,트윈 섹스
20155177,트루 크라임
19958561,토요일 밤부터 일요일 새벽까지
20119743,테러 2000
20124713,킬링 조이
19988232,클리프 행어 - 죽음의 질주
20124711,크라임 게임
20060849,콜라
19889121,콘트랙
19998525,캐딜락 랜치
20098922,카마수트라 2
20134857,초등학교 동창회
20124728,첫사랑
20008620,차퍼
19958192,증오
20124687,죽음의 항해
19908361,좀비오 2
19968406,존 말코비치의 25시
20136907,정사수표 6
20136908,정사수표 5
20138812,정사수표 1
20134752,정글 피버
19968517,저스틴
20128013,재즈 어 고고 - 간호사의 하루
19908485,잠자는 가시공주
20001389,인 더 비기닝
19958669,이온 플럭스
20116122,이상한 나라의 데자뷰
20100723,이산 가족
20060852,은혜 갚은 까치
19898496,윤의거리
20138815,육체의 거래
20060869,유아돌연사증후군
20119839,원진별곡
20061285,우린 봉사한다 - 나는 아저씨들에게 어떤 연기를 시켰나
20119838,우리는 전사가 아니다
2009B027,용재소림(소림칠금강)
19950095,레옹 
20124671,요제담(산중면담)
20124670,요마록
20101296,외통수
