movieCd,movieNm
19438005,베르나데트의 노래
19438006,사하라
19438007,거인 마쯔의 일생
19438008,오페라의 유령
19438009,무법
19438010,비련
19438016,의혹의 그림자
19440009,거경전
19448001,녹원의 천사
19448003,나의 길을 가련다
19448004,폭군 이반 1부
19448005,가스등
19448006,로라
19448007,라이프보트
19448008,랜스의 일당
19448011,헨리 5세
19450011,세인트 메리의 종
19458001,구피 대행진
19458002,인생유전
19458003,코로넬 블림프
19458004,워크 인 더 선
19458005,밀회
19458007,밀드레드 피어스
19458008,잃어버린 주말
19458010,살인음모
19458012,토히르와주흐라
19458013,처트장군
19460007,전화의 저편
19460021,자유만세
19460024,똘똘이의 모험
19460025,제주도 풍토기
19460026,안중근 사기
19468001,음악을 만들어봐요
19468002,전원 교향곡
19468003,마법의 펜
19468004,벚꽃 / 봄의 환상
19468005,톰과 제리 : 사랑의 세레나데
19468006,하비 걸
19468008,포스트맨은 벨을 두번 울린다
19468010,무방비 도시
19468011,위대한 유산
19468013,명탐정 필립
19468014,변형 시간의 의례
19468015,소야곡
19468016,텍사스 문
19468018,철로변 전투
19468019,삶과 죽음의 문제
19468020,요약된 시편
19468022,미혹
19468027,코트니스박사의여정
19470013,목단등기
19470014,그들의 행복
19470015,삼일혁명기
19470016,바다의 정열
19470017,그들이 가는 길
19470018,윤봉길 의사
19470019,새로운 맹서
19470020,민족의 새벽
19470021,해방된 내고향
19470022,불멸의 밀사
19478002,미키와 콩나무
19478003,아버지의 인생
19478004,성냥팔이 소녀
19478005,뉴올리언즈
19478006,비숍스 와이프
19478007,이중생활
19478008,시레나
19478009,더글라스 서크의 올가미
19478010,신사협정
19478011,어두운 통로
19478012,엔젤 앤 배드맨
19480001,미지의 여인에게서 온 편지
19480012,갈매기
19480013,불륜의 관계
19480014,상하이에서 온 여인
19480018,살인 기계
19480019,주정뱅이 천사
19480020,무서운 부모들
19480021,쌍두 독수리
19480022,여수순천반란사건
19480023,여명
19480024,푸른 언덕
19480025,밤의 태양
19480026,지성탑
19480027,국민투표
19480028,유관순
19480029,그 얼굴
19480030,죄 없는 죄인
19488001,즐거운 음악시간
19488002,분홍신
19488003,올리버 트위스트
19488006,남극탐험
19488007,안나 카레니나
19488008,돈 주앙의 모험
19488009,레드 리버
19488010,생매장
19488011,흔들리는 대지
19488016,유혹의 여름
19488017,가녀지가
19488031,햄릿
19490001,오르페우스
19490012,여성 일기
19490017,마농
19490018,무너진 38선
19490019,돌아온 어머니
19490020,북한의 실정
19490021,성벽을 뚫고
19490022,청춘 행로
19490023,전우
19490024,대지의 아들
19490025,애국자의 아들
19490026,고구려의 혼
19490027,조국의 어머니
19498002,이카보드와 토드경의 모험
19498003,톰과 제리 : 테니스 대회
19498004,도쿄 조
19498005,다이아몬드 쟁탈전
19498006,챔피온
19498007,유황도의 모래
19498008,화이트 히트
19498009,나는 전쟁 신부
19498010,투르사
19498011,짐승의 피
19498014,모두가 왕의 부하들
19498015,보바리 부인
19498016,임팩트
19498028,심판자
19500010,여인애사
19508001,신데렐라
19508002,하비
19508003,몬테즈마의 영웅들
19508004,선셋 대로
19508005,펠리니의 청춘군상
19508006,리오 그란데
19508007,브레이징 건
19508008,어느 시골 사제의 일기
19508009,재판은 끝났다
19508011,이브의 모든 것
19508012,라쇼몽
19508013,체인 갱
19508014,"프란체스코, 신의 어릿광대"
19508016,화랑도
19510018,잉그리드 버그만의 유로파
19510019,육군포병학교
19510020,삼천만의 꽃다발
19510021,내가 넘은 38선
19518001,파리의 아메리카인
19518002,이상한 나라의 앨리스
19518003,지구 최후의 날
19518004,스크루지 : 크리스마스 캐롤
19518005,귀여운 빌리
19518006,북소리
19518007,탐정야화
19518008,소개 혹은 샤를로트와 그녀의 스테이크
19518009,힐 넘버 원
19518010,무인지대
19518011,아프리카의 여왕
19518012,탈취특급
19518013,밀라노의 기적
19518014,열차 안에 낯선자들
19518015,욕망이라는 이름의 전차
19518016,젊은이의 양지
19518023,심판
19518024,여수
19518025,설산비호
19518026,하늘과땅사이
19518027,오가기
19520006,몽키 비지니스
19520011,비바 자파타
19520015,악야
19520016,공포의 밤
19520017,베일 부인
19520019,일판지격
19520020,백인 추장
19520022,낙동강
19520023,태양의 거리
19520024,성불사
19528001,사랑은 비를 타고
19528002,킬리만자로의 눈
19528004,안데르센
19528005,톰과 제리 : 화가 난 톰
19528007,비잉 어니스트
19528008,말 없는 사나이
19528009,지상 최대의 쇼
19528010,돈 보더 투 노크
19528012,스카라무슈
19528014,진홍의 도적
19528025,물랑 루즈
19528026,서든피어
19530005,밴드 웨건
19530015,나는 고백한다
19530031,위루춘효
19530032,최후의 유혹
19538001,피터 팬
19538004,캘러미티 제인
19538006,와일드 원
19538007,제17 포로수용소
19538008,글렌 밀러 스토리
19538009,법과 질서
19538010,코베트
19538011,동경 이야기
19538012,잔인한 바다
19538013,클레오파트라와 이틀밤
19538014,모감보
19538016,지상에서 영원으로
19538017,백만장자와 결혼하는 법
19538019,셰인
19538020,맨 프롬 더 알라모
19538021,나이아가라
19538022,에어 코맨도
19538023,타이타닉의 최후
19538024,해저의 다이노서
19538025,비텔로니
19538026,또다른 삶
19538027,우주전쟁
19538028,편승자
19538029,해저 12마일
19538030,픽업 온 사우스 스트리트 / 사우스 스트리트의 소매치기
19540006,말씀
19540024,운명의 손
19540028,산의 소리
19540029,불안
19540030,애원의 향토
19540031,출격 명령
19540032,창수만세
19540033,코리아
19548002,사브리나
19548004,해저 2만리
19548005,꽃과 나비
19548007,애천
19548008,해양 괴물
19548009,7인의 신부
19548011,원한의 도곡리 다리
19548012,쇼처럼 즐거운 인생은 없다
19548013,다이얼 M을 돌려라
19548014,이창
19548015,돌아오지 않는 강
19548016,자니 기타
19548017,카르멘 존스
19548018,케인호의 반란
19548020,프렌치 캉캉
19548021,지옥문
19548022,네이키드 정글
19548025,워터 프론트
19548026,침입자
19548035,7인의 사무라이
19550019,사기꾼들
19550028,미망인
19550029,결혼진단
19550035,한야
19550036,젊은 그들
19550037,망나니 비사
19550039,열애
19550040,제2의 출발
19550041,구원의 애정
19550042,자유전선
19550043,춘향전
19558001,레이디와 트램프
19558004,피크닉
19558005,라라미에서 온 사나이
19558006,롱 그레이 라인
19558007,미스터 로버츠
19558008,인디언 파이터
19558009,대지의 노래
19558011,에덴의 동쪽
19558015,위대한 전략
19558020,마티
19558021,건스모크
19558022,영 앳 하트
19558023,파라오
19558024,필사의 추격대
19558025,황금팔을 가진 사나이
19558026,나의 청춘 마리안느
19558030,키스 미 데들리
19558032,원한의 성
19558033,죄수
19558034,도박사 봅
19558044,차타레부인의 사랑
19558045,오델로
19558046,여왕벌
19558049,해당화
19558050,부운
19558052,길의 노래
19560001,청춘쌍곡선
19560012,서울의 휴일
19560022,단종애사
19560023,격퇴
19560025,유전의 애수
19560026,물레방아
19560027,애정파도
19560028,여성의 적
19560036,숙영 낭자전
19560037,사도세자
19560039,논개
19560040,심청전
19560041,마의 태자
19560042,인생 역마차
19560043,옥단춘
19560044,장화홍련전
19560045,왕자호동과 낙랑공주
19560046,천추의 한
19560047,벼락감투
19560048,포화속의 십자가
19560049,처녀 별
19560050,구원의 정화
19560051,교차로
19568002,왕과 나
19568003,빨간 풍선
19568004,3인의 난폭한 사람들
19568005,수색자
19568009,어택
19568011,아나스타샤
19568013,80일간의 세계일주
19568014,하더 데이 폴
19568015,디데이
19568016,론 레인저
19568017,열정의 랩소디
19568018,여자 보안관 로즈
19568019,우정어린 설복
19568020,침묵의 세계
19568021,아파라지토
19568030,"버스, 정류장"
19568032,백치 아다다
19568033,목로주점
19568034,수치의 거리
19568053,상처뿐인 영광
19568054,미친과실
19570016,여성 전선
19570017,잊을 수 없는 사람들
19570018,애원의 고백
19570019,운명의 여인
19570020,찔레꽃
19570021,전후파
19570022,잃어버린 청춘
19570023,속 자유부인
19570030,거미의 성
19570031,풍운의 궁전
19570032,인생 화보
19570033,천지유정
19570034,나그네 설움
19570035,가거라 슬픔이여
19570036,황혼열차
19570037,봉이 김선달
19570038,항구의 일야
19570039,청실홍실
19570040,실락원의 별
19570041,선화공주
19570042,김삿갓
19570043,다정도 병이런가
19570044,사랑
19570045,산적의 딸
19570046,나는 너를 싫어한다
19570047,그 여자의 일생
19570048,산유화
19570049,마인
19570050,배뱅이굿
19570051,처와 애인
19570052,대춘향전
19570053,황진이
19578001,제임스 딘 스토리
19578006,사요나라
19578007,12명의 성난 사람들
19578009,파리의 연인
19578010,왕자와 무희
19578011,디자이닝 우먼
19578013,어둠 속의 기적
19578014,학이 날아간다
19578015,어페어 투 리멤버
19578024,영광의 길
19578025,파리지엔느
19578026,함정
19578027,하오의 연정
19578028,제일 하우스 록
19578029,진리의 밤
19578054,총각파티
19578055,정부
19578057,두개의눈동자와열두개의손
19578058,시골호텔
19580015,아름다운 악녀
19580016,초설
19580017,종말없는 비극
19580018,40대 여인
19580019,진주는 천리길
19580020,자유 결혼
19580034,화심
19580035,느티나무 있는 언덕
19580036,화류춘몽
19580037,한 번만 봐 주세요
19580038,촌색씨
19580039,어디로 갈까
19580040,춘향전
19580041,별만이 아는 비밀
19580042,모녀
19580043,산넘어 바다건너
19580044,길 잃은 사람들
19580045,그대는 돌아왔건만
19580046,님은 가시고
19580047,승방비곡
19580048,인걸 홍길동
19580049,사람팔자 알 수 없다
19580050,사랑의 길
19580051,봄은 다시 오려나
19580052,영원한 내 사랑
19580053,자장가
19580054,수정탑
19580055,어머니의 길
19580056,생명
19580058,청춘비가
19580059,순정의 문을 열어라
19580060,낙엽
19580061,별아 내 가슴에
19580062,심정
19580063,돌아온 항구
19580064,콩쥐팥쥐
19580065,흐르는 별
19580066,오부자
19580067,나 혼자만이
19580068,눈 나리는 밤
19580069,돈
19580070,마음의 진주
19580071,두 남매
19580072,공처가
19580073,그대와 영원히
19580074,돈과 시간을 달라
