movieCd,movieNm
20246562,잊혀 진 얼굴
20246493,행복한 날이 곧 올거야
20159405,브로커
20246505,감사합니다
20246483,리멤버유어크리스마스
20208381,검은 물결 속에
20171908,비포 러브
20161872,너의 이름은.
20155259,두 소년의 시간
20172607,그루잠
20150942,캐롤
20162145,청춘학당2 기생난입야사
20164403,원나잇스탠드
20216381,아라가네
20246047,플래시
20176324,유혹 : 내 아내의 비밀
20177462,사슬-두여자의유혹-무삭제
20170930,사슬 - 두 여자의 유혹
20176325,변태정력왕 : 투명인간의탄생
20180384,은밀한쇼-달의장
20176302,거부 못할 제자의 향기
20178363,음란한 좀비녀의 섹스 일기
2022B791,아내의 애인 무삭제판
2022B708,섹스감옥-여죄수의 성욕
20178381,내 아내의 대낮 정사
20173230,충격 여성 수용소: 섹스스캔들
20172902,형님아내3감독판(아랫집 부인) 
2022C292,형님아내2 무삭제판
20245622,나의 외계인
20189846,교훈
20155564,남편만 몰라요 (무삭제)
20152041,남편만 몰라요
20168888,"금지된 섹스, 달콤한 복수 무삭제 감독판"
20150982,"금지된 섹스, 달콤한 복수"
20168752,내 학생의 엄마 무삭제판
20166130,내 학생의 엄마
20187397,옥보단2 무삭제판
20169366,부부의 스폰서
20176621,착한 형수 무삭제
20160941,착한 형수
20163323,애마부인 2016
20171850,내 여자의 엄마(무삭제)
20179695,내 여자의 엄마
20152110,나는 야한 여자가 좋다 3 무삭제감독판
20158068,나는 야한 여자가 좋다 3
20168085,미용실 : 특별한 서비스
20179001,미용실 : 특별한 서비스 무삭제
20170365,동창회의 목적: 더 비기닝 (무삭제)
20160129,동창회의 목적: 더 비기닝
20161761,관음증
20160876,어린 형수 - 무삭제판
20160875,어린 형수
20178002,새엄마 무삭제
20161569,새엄마
20165801,젊은엄마 : 디 오리지널
20164001,착한 여비서의 목적
20160142,내 친구의 엄마
20179401,내 친구의 엄마 (무삭제)
20176622,매춘 2016 무삭제
20165203,매춘 2016
20165344,주말부부
20163665,잠 못 이루는 섹스 2
20162205,잠 못 이루는 섹스
20165441,나도 때론 포르노그라피의 주인공이고 싶다 : 감독판
20151861,나도 때론 포르노그라피의 주인공이고 싶다
20163583,누나 친구 무삭제판
20161342,누나 친구
20173841,스와핑 : 친구의 아내 무삭제판
20163689,스와핑 : 친구의 아내
20165785,친구 누나 무삭제
20161971,친구 누나
20168687,교수와 여제자: 사랑
20165968,바람난 여자들 무삭제판
20165423,바람난 여자들
20160710,외도(무삭제판)
20166441,외도
20159664,전원일기: 젖소농장새댁
20163848,정사 : 결혼 말고 연애 무삭제
20162924,정사 : 결혼 말고 연애
20171207,일본 엄마 무삭제
20179002,일본 엄마
20173381,새오빠 무삭제
20160401,새오빠
20170724,부부교환섹스 2017 (무삭제)
20176164,부부교환섹스 2017
20152262,동창회의 목적
20158725,동창회의 목적(무삭제)
20178125,내 아내의 언니 무삭제
20166197,내 아내의 언니
20172861,엄마친구 3
20172403,동창회의 목적 2
20245219,오메가
20179670,엄마친구 3 무삭제판
20175210,동창회의 목적 2 (무삭제)
20164301,엄딸
20245128,살시뿌에데스
20244997,윈도 호스
20179931,SICAF2017 특별경쟁: 시카프 데뷰 2
20168436,죽음에 대하여
20244799,개의 심장
20176677,리볼팅 라임
20153450,우리들
20172966,성찬식
20162817,샬레
20153039,러브 라이브! 더 스쿨 아이돌 무비
20244419,어둠 속에 앉아서
20244417,엉망
20244430,행성
20244429,섬
20244409,그 무엇도 유령으로부터 자유로울 수 없다
20244380,벤자민의 숲
20244371,탑
20244384,파농을 찾아서 2
20244383,파농을 찾아서 1
20173503,도큐멘트 70: 속물에 대한 6가지 테제
20244073,칼테스 탈
20244030,낯선 평온함
20244029,이비 플로
20244020,구경꾼
20243980,이미지의 층
20244016,밤 속의 밤
20187643,금의환향
20243746,차학경 프로젝트
20171571,타임코드
20243063,텟수 코노의 미친 일상
20151081,은혜
20177925,심장박동 조작극
20138561,모범생
20167301,아가씨(확장판)
20181824,네 브라운 넘버는 뭐야?
20241883,물레 위의 마가레트
20241181,피렌체와 우피치 미술관
20241657,넌 할 수 있을 거야
20241656,붉은 광인
20241688,이민자
20241652,기다려!
20241685,아주 살짝 잿빛
20241684,노예와 로봇
20241650,공주와 개구리
20241649,피콜로 협주곡
20241648,우리들의 별여행
20241681,황금 풍뎅이
20241623,엘리베이터 안의 남자들
20241609,문 안에서
20241622,투명인간이 된 남자
20241608,얼굴
20241600,사례 연구
20241599,결혼합시다!
20241606,하극상
20241598,숲속에서
20241597,귀환
20241603,마리아의 자장가
20241596,아나가 돌아왔다
20241601,강박관념
20241595,패트릭을 기다리며
20241560,단식 광대
20166422,커피 메이트
20241438,무무면
20167246,대역전
20241413,숨의 흔적
2024A981,줄넘기
20169968,세계가 충돌할 때
20241107,용감한 자들의 휴식
20241084,빈티지 프린트
20240905,블랙아웃
2024A408,더 로우
20240843,배회자
20240602,아름다운 사람
20172703,러브 레시피
20178987,오스
20166166,배드 트립
20240304,기억과 대화-마이너리메이저리티 트래블-10년의 검증
20240284,실로(失路)_잃어버린 길을 찾다
20240241,선셋 송
20170321,목소리의 형태
20240063,프라이머리 컬러스
20162629,하이큐!! 끝과 시작
20240006,게이머 걸
20240001,우리 엄마
20249999,커퓨
20249897,집 잃은 이들을 위한 시
20249898,위대한 이야기
20197472,오드는 달걀이야
20249886,조나스와 바다
20162430,꽃피는 편지
20249852,무모한 형제
2024A042,둠스데이: 최후의 날
20176707,별이 빛나는 밤에 
20161274,자기소개서
20172365,오제이티
20168755,가까이
20164196,수담
20174816,산의 아이들
20172341,하이디
20174836,아이레벨
20249763,말더듬이
20249762,랩소디
20249749,링고
20176245,이틀만 일하는 빵집 주인 다니엘
20169085,바닥을 듣는 아이
20249759,평화로 가는 기차
20166637,어라이크
20249747,멈춰진 시간
20208424,두 전차
20206187,모두를 위한 돌 스프
20199388,갈대숲의 바람
20199359,유니콘
20249698,밤 아저씨의 하루 휴가
20179668,날아라 손수레
20162401,영메시아
20180143,포제션 익스페리먼트
20149572,코뮌 서울
20156645,울프 토템
20158561,기생수 파트2
20235534,순간이야기
2024A705,데스 위켄드
20145396,널 기다리며
20157631,다른 길이 있다
20157155,고시원
20167102,휴가
20162503,미스 푸줏간
20174199,실종2
20172767,거룩한 분노
20161724,스타박'스 다방
20248463,시선
20248454,섬그늘
20248158,층간소음
20248176,렛 미 고
20155417,우주의 닭
20247991,영원한 꿈
20248032,저무는 달도 아름답네요
20247935,모던러브
20247954,도둑의 시 
20170118,장마
20209431,달
20163189,태풍이 지나가고
20120111,기억의 소리
20247607,길 위의 인생 - 자오족 여인의 길
20247602,엘리엇
20247601,이아이: 이모셔널 인텔리젼스
20247518,향유고래
20165543,하이큐!! 승자와 패자
20150744,더 아티스트
20125648,코인라커
20155725,리틀 보이
20247160,아이스커피
20155586,겟하드
20176682,88번지
20165131,진동
20160725,잠들지 못하던 어느밤
20164046,우리에 대한 어떤 것 
20160724,아는 사람
20163002,씨유투머로우
20202524,살기 좋은 아파트
20205531,빡구
20165150,미씽
20165342,나와 함께 블루스를
20164165,나의 기념일 
20174648,나는 아직도 당신이 궁금하여 자다가도 일어납니다
20188112,그 누구의 딸 
20175201,공채사원
20174343,경계
20190967,간섭
20247096,아빠를 기다리며
20166125,공원 생활
20206806,살인자의 기억: 복수
20164066,촉법소년
20169305,해피 아워
20141705,마이 페어 웨딩
20236210,팔월
20236219,깨끗한 물속의 칼
20236216,타를로
20158525,병구
20164267,K2: 보이지 않는 걸음
20152105,"시발, 놈: 인류의 시작"
20235573,냉소주의자
20235569,퍼플 튤립
20235574,옐로우
20158527,한 끼
2023C007,나의 뮤즈에게
20235074,작은 노래를 함께 부를 때
20189650,거듭되는 항거
20162851,반차
20163285,드롭박스
20234792,딜[:곱등이 물다.]
20234791,나무젓가락
20163041,자백
20226373,"제리코, 무한한 비상"
20233926,헌팅 파티
20173821,어쩌면 더 아름다웠을
20233714,가상현실에서의 죽음
20171342,아리아
20233695,"이토 도요오, 멕시코의 도전"
20149264,춘희막이
2023C347,스톰 토네이도
20233462,드라이브
20162425,빙빙
20172126,(100ft)
20163007,천막
20180555,엘 마르
20161692,마술피리
2023C043,이명
2023C924,돌이킬 수 없는 주말
20172461,겨울 노래
2023C862,작전명 엄마야
20158826,엘 모비미엔토
20163013,우아한 나체들
20158822,설행_눈길을 걷다
20150020,사울의 아들
20134798,연평해전
20158357,카일리 블루스
20166133,안 죽을지도 몰라
20231782,오카포의 법칙
20154661,형
20199702,생일케익
20162088,스테잉 버티컬
2022A569,지젤
2023C126,하울
2023C101, 크라운앤드앵커
20154755,지울 수 없는...
2023C985,호스타일 보더
2023C983,본 길티
20161467,예술의 목적
20159208,자크 타티 회고전 - 채플린 단편선2
20159207,자크 타티 회고전 - 채플린 단편선 1
20151261,타부 : 금지된 사랑
20162569,오베라는 남자
20150374,더미: 노 웨이 아웃
2023C801,트레인
20203886,안녕의 온도
20230409,나의 비디오 게임
20230369,기억을 걷는 시간
20155702,앤트맨
20230208,피그말리온
20230185,공동정범
20230118,너에게
20182221,스파키
20183046,외도:남편 상사와의 하룻밤
2023C447,더 둠즈데이
2023C446,배틀 인베이젼
20239806,포구의 남매
20156102,바닷마을 다이어리
20190025,오월
20174102,하녀: 에나미
2022C423,타이거
20229407,체이싱 트레인
20163164,본 투 비 블루
20155381,녹화중이야
20173224,ㄲㅜㅁ
20228098,아이다
20228752,드리프터
20162875,탐정 당인: 차이나타운 살인사건
20159364,캡틴 아메리카: 시빌 워
20178762,파리로 가는 길
20228044,내 친구 호비
20157933,희광이
20156942,로렐
20187501,스톤월
2022A665,아웃사이더
20227858,귀여운 악마
2022A368,다크웹
2022A548,베이비시터
2022A693,엔카운터 
2022A916,헌티드 
2022A354,내추럴 셀렉션
20176383,어떤 여자들
2022B054,원피스 극장판: 에피소드 오브 사보
2022A475,마더스 데이
20211990,센트럴 인텔리전스
20161589,죽여주는 여자
20156559,계춘할망
2022A555,부그와 엘리엇: 늑대인간의 공포
20164145,꿈
20169284,이태원
2022A081,더 메들러
2022A056,더블트러블: 과속스캔들
2022A749,인간사냥
2022A706,오즈의 마법사: 돌아온 톰과 제리
2022A445,레고 DC 코믹스 슈퍼히어로: 저스티스리그 우주전쟁
2022A447,레고 쥬라기 월드: 인도미누스 대탈주
2022A822,크람푸스
2022A391,더 퍼지 3: 심판의 날
20227473,순수 박물관 -오르한 파묵의 박물관과 이스탄불
20162242,우주의 크리스마스
20226725,초행
20226898,"살인자, 그리고 살인자들"
20226859,불의 발견
20152358,여름의 끝
2022A303,가면라이더 고스트 & 드라이브 극장판: 초 MOVIE 대전 제네시스
2022A304,가면라이더 고스트 100개의 아이콘과 고스트: 운명의 순간
2022B170,가면라이더 뉴 제네레이션 Dr.팩맨 VS 이그제이드 & 고스트 위드 레전드 라이더
2022A307,가면라이더 드라이브 서프라이즈 퓨처
2022A313,가면라이더 체이서 극장판
2022A279,간신 감독판
2022B180,갑철성의 카바네리 총집편 전편 모여드는 빛
2022B181,갑철성의 카바네리 총집편 후편 불타는 생명
2022A318,강제이동
2022B199,검은 수해
2022A267,검은손 무삭제판 
2022A323,게임 체인저
2022A325,겟썸 3
2022A326,고스트 라인
2022B209,곤 투모로우
2022B210,골드우먼
2022A329,공짜로 부자 되기
2022B224,교회오빠 개빈
2022A102,그 규칙은 당신에게 적용되지 않아요
2022B242,그녀들의 사정
2022A332,그녀와 그녀의 고양이: 흘러가는 시간들
2022A268,그레이의 50가지 그림자 무삭제판
2022A336,그림스비: 용감한 형제
2022B259,극장판 울트라 파이트 빅토리
2022B260,극장판 울트라맨 긴가 S 결전! 울트라 10 용사!!
2022B263,극장판 쿠로코의 농구 윈터컵: 눈물의 끝에
2022B264,극장판 쿠로코의 농구 윈터컵: 문의 저편
2022B270,"글로리아, 악마의 변호사"
2022B278,깨어보니 다른 남편과
2022B296,나는 나쁜 놈이 아니에요
2022B298,나는 베프를 죽였다
2022A346,"나와 친구, 그리고 죽어가는 소녀"
2022A347,나의 가디언 앤젤
2022B309,남자 배우집에 AV여배우
2022A153,남자로 만들어 주세요
2022A108,내 남자친구의 결혼식
2022A096,내 인생 특별한 숲속 여행
2022A002,넥스트 제네레이션 패트레이버: 수도결전
2022B346,노크 소리가 두번 울릴 때
2022A359,눈물의 미학
2022A361,뉴올리언스 전투: 네이비실 VS 좀비
2022B368,다바이 유랑극단 (오거)
2022A363,다시 돌아온 파워레인저 트레인포스 극장판: 꿈의 초특급 트레인 7호
2022A364,다시 집으로
2022A063,다크웹: 죽음의 게임
2022A069,달링: 저주의 시작
2022A374,대디스 홈
2022B385,대리모
2022A378,댄싱 잇츠 온
2022A379,더 나이트 비포
2022A230,더 드레서
2022A382,더 레이디 인 더 밴
2022A144,더 미싱 걸
2022A386,더 보스
2022A041,더 퍼펙트 가이
2022B401,더 할로우 포인트
2022A392,더 해칭
2022A394,데드 라이징: 엔드게임
2022A395,데드빌딩: 헌티드
2022A398,데스 스파이더
2022A406,도사하산
2022A065,드리프트리스 에어리어
2022B445,디스 썸머 필링
2022B447,디어 엘리너
2022B448,디투어
2022B449,딜리리엄
2022A430,라이드 어롱 2
2022A434,라이프 온 더 라인
2022B456,라자르
2022A435,락 스토리
2022A436,래터
2022A437,랜드마인 고즈 클릭
2022A446,레고 저스티스리그: 고담시티 브레이크아웃
2022A448,레고 프렌즈: 걸즈 포 라이프
2022B458,레귤러 쇼 더 무비
2022A450,레스큐 독
2022A451,"레이더스, 랩터, 저항군: ILM의 마법"
2022A091,로드게임
2022B464,로드킬
2022A459,로스트 아이덴티티
2022A203,론리아일랜드의 팝스타
2022A462,루팡 3세 스페셜: 이탈리안 게임
2022B471,리더의 탄생
2022A467,리버스 나인
2022B472,리벤지
2022A470,리브 바이 나이트
2022A124,릴리 앤 캣
2022A038,마블 원샷
2022A481,마우스피스
2022B478,마음의 문제
2022A486,마이 리틀 포니: 에버프리의 전설
2022A488,마이 리틀 포니: 프렌드쉽 게임
2022A090,마이크와 데이브는 데이트 상대가 필요해
2022A046,말랄라
2022A494,매직 마이크 XXL
2022A495,맥스
2022A174,맨션 오브 블러드
2022A504,메이즈 헌터: 살인곰의 습격
2022B510,명탐정 캐서린
2022B511,명탐정 캐서린: 사라진 상속인
2022A505,모건
2022A508,몬스터 트럭
2022B537,미녀 암살자 란
2022A520,미드나잇 인 뉴욕
2022A521,미들스쿨: 꼰대 길들이기
2022A277,미스 푸줏간 무삭제판
2022A133,미스터리한 작가
2022A523,미스포춘
2022A095,미트 더 블랙스
2022A168,믿음의 승부
2022B552,바비와 동생들의 신나는 퍼피 어드벤처
2022B555,바비와 자매들의 퍼피체이스
2022B558,바비의 프린세스 파워
2022B561,바츠 섬 살인사건
2022B565,발버둥 (정글의 법칙)
2022B567,밤의 황제 탄생
2022A535,배트맨 킬링조크
2022A057,배트맨: 배드 블러드
2022A537,백업 보이프렌드
2022A541,백조공주: 해적에서 공주로
2022B585,밸리 오브 러브
2022A549,베케이션
2022A554,본드
2022A125,북 오브 헨리
2022A122,브라더즈 오브 워
2022A563,블랙매스
2022A566,블러드 헌터스
2022A568,블로우토치
2022A570,비-롤
2022A572,비욘드 파라다이스
2022A574,빅터 프랑켄슈타인
2022B641,빅토리아와 한 침대에 (빅토리아)
2022A576,빌리 린의 롱 하프타임 워크
2022A579,사랑이 희망을 만났을 때
2022A580,"사랑해, 나의 청춘"
2022A581,사십춘기의 도전: 사이클
2022B655,사악한 그녀의 섹스 시크릿
2022B656,사이렌
2022A582,사일런트 스크림스
2022A583,사일런트 피어
2022B687,샤스 로얄
2022A585,샤크킬러
2022A588,서스펜션
2022A590,선생님이 작아졌어요
2022A592,세 개의 달
2022A596,세인트 조지
2022B706,"섹스, 결혼 그리고 불륜"
2022B718,"소녀, 엄마가 되다"
2022A613,소두라
2022A614,소시지 파티
2022A621,슈거 마운틴
2022A623,슈퍼 히어로대전GP: 가면라이더 3호
2022B745,스나이퍼 고스트 슈터
2022A625,스몰타운
2022B748,스웨거
2022B749,스카이
2022A131,스카이퀘이크
2022A258,스태튼 아일랜드 썸머
2022A066,스티브 잡스: 더 맨 인 더 머신
2022B762,스파크
2022A636,시스터즈
2022A637,시크릿 오브 에비 그레이스
2022A639,신밧드 극장판 2: 마법의 램프와 움직이는 섬
2022A640,신밧드 극장판 3: 한낮의 밤과 수수께끼의 문
2022B771,신밧드: 하늘을 나는 공주와 비밀의 섬
2022B772,신성한 가족
2022A649,쓰리 씨스터즈
2022A650,씨 유 인 발할라
2022A099,아니무스
2022A042,아메리칸 구조대
2022A658,아메리칸 컨저링
2022B798,아메리칸 히어로
2022A135,아멕시코
2022B804,아이 쏘우 더 라이트
2022A667,아이 엠 볼트
2022A103,아이 엠 어 좀비
2022A040,아이 윌 씨 유 인 마이 드림스
2022B806,아인 극장판 2부: 충돌
2022B807,아인 극장판 3부: 충극
2022B805,아인 OAD
2022A087,악몽선생
2022B813,안나의 시간
2022A675,애플턴
2022B826,액셀 월드: INFINITE BURST
2022B832,어 크리스마스 호러 스토리
2022A682,어쿼드 섹시 피플
2022A145,언드래프트
2022A684,얼웨이즈 샤인
2022A147,에쿼티
2022A692,엑소시스트 하우스 오브 이블
2022A075,엠마의 기회
2022B862,엣지 오브 윈터
2022B885,영원히 함께
2022A709,올 위 해드
2022A710,올 인 타임
2022A711,와이 힘?
2022A714,외계납치
2022A715,우리 집에 왜 왔니
2022B933,우리가 일으킨 물결
2022A719,우정공원 되찾기
2022B937,울트라맨 X 극장판: 왔다! 우리의 울트라맨
2022B946,원피스 하트오브골드
2022B947,원피스: 네브란디아의 모험
2022A093,웬 더 보우 브레이크
2022A734,위드인 디즈 월
2022A735,위성: 영웅들의 귀환
2022A736,위자 3: 찰리 찰리 챌린지
2022B973,음란마귀-자매유혹
2022A743,이니셜D 극장판 2: 투주
2022A746,이스케이프 언더 워터
2022A747,이웃집 스파이
2022A263,인 어 밸리 오브 바이얼런스
2022A185,인 크리티컬 컨디션
2022A751,인어 이야기
2022C011,인터스테이츠
2022A753,인해비턴츠
2022C013,일렉트라 우먼과 다이나 걸
2022A757,작업남녀
2022C035,저는 바로 당신의 것입니다
2022C043,전학생 (더 뉴 키드)
2022C049,젊은엄마: 내 나이가 어때서 무삭제판
2022C052,정력왕 투명 인간
2022A766,제3의 눈
2022A060,젬 앤 더 홀로그램
2022A101,조커스 와일드
2022A768,조크스터스
2022A771,좀비 서바이벌 가이드
2022A772,좀비 오브 아프리카
2022A186,증오
2022A781,지구 멸망: 카운트 다운
2022C102,지방 신문을 사는 여자
2022A793,첫 번째 화성인
2022A794,체스의 여왕
2022A128,체인징 시즌스
