CompanyCd,CompanyNm,companyPartNames,ceoNm
20242062,에이리스터 스튜디오스,제작사,"정우주, 이민지"
20231121,스튜디오타겟(주),"제작사,배급사,수입사",김도연
20242741,예인 엔터테인먼트,제작사,김미선
20230135,미디어나무(주),"제작사,배급사",김성환
20160321,대호필름,제작사,전혜미
20242721,로드원오(주),"제작사,배급사","권경달, 원동연"
20242722,(주)어니언툰,"제작사,배급사",노해일
20242723,(주)아치울소프트,"제작사,배급사",홍상우
20242664,장Cine,제작사,황수연
20242665,아콜,배급사,Ganbaatar Dulguun
20140928,주식회사 강컨텐츠,"제작사,배급사",박미경
20242702,게니우스 유한회사,제작사,양우석
20242663,오마이뉴스,제작사,
20242701,바넴라인,제작사,염정원
20230361,(주)도토리,제작사,김우석
20141655,(주)아토,"제작사,배급사",제정주
20140776,토이빌,제작사,전승배
20228982,(주)콘텐츠지,제작사,구성목
20242662,미드나잇스튜디오 주식회사,제작사,김연호
20242683,(주)스튜디오파인더스,제작사,정용욱
20242682,(주)스파크네온,"제작사,배급사,수입사",전찬우
20111211,(주)케이티알파,"배급사,수입사,해외세일즈사",박승표
20242681,재단법인 명필름문화재단,배급사,
20123218,(주)씨제스스튜디오,"제작사,소속사",백창주
20160941,(주)덱스터스튜디오,"제작사,제작서비스-시각효과/특수효과,제작서비스-후반작업(VFX)","김욱, 강종익"
20231183,씨제이이엔엠 스튜디오스 주식회사,"제작사,배급사,수입사,제공,공동제공,저작권관련사,제작서비스-기획,프로덕션 서비스,영화기관/단체-제작",하용수
20242661,주식회사 케이앤아이,배급사,김상규
20204141,블라드스튜디오,"제작사,배급사",김준엽
20217404,(주)바른손스튜디오,"제작사,배급사","안은미, 이형휘"
20141338,(재)김해문화관광재단 김해문화의 전당,상영업,최석철
20242642,㈜브레인트러스트커뮤니케이션즈,,이영빈
20242641,써클더커렉트,부가시장,정도운
20154728,주식회사 씨엠닉스,"제작사,배급사,수입사",권중목
20101117,(주)모쿠슈라,"제작사,배급사",김윤희
20216921,(주)바이어스이엔티,"제작사,배급사",변성만
20242621,프로덕션 에스에프에스,제작사,신아가
20242548,엘티띵크 주식회사,"제작사,배급사,상영업",오희성
20242547,주식회사 페이지6,제작사,김미혜
20242546,주식회사 영화사웃음,제작사,서연
20242601,셰도우필름 주식회사,제작사,박지훈
20242545,영화사 대명,제작사,오정민
20157408,브릿지 프로덕션,제작사,손승웅
20242544,주식회사 모울프로덕션,제작사,김미혜
20242581,세븐트리미디어,상영업,박장우
20217881,(주)샤이커뮤니케이션즈,"제작사,배급사,수입사",윤승희
20241721,주식회사 제이에이치에프 엔터테인먼트,제작사,지훈
20242543,스물둘,제작사,
20203403,주식회사 퍼플레이컴퍼니,"제작사,배급사,수입사",조일지
20242501,㈜디지엔터테인먼트,"제작사,배급사,상영업",김가람
20242542,한미동맹유지를위한시민연합,"제작사,배급사",심하보
20242561,㈜동성씨앤티,상영업,박용득
20242541,어나더뷰,부가시장,김재현
20242521,주식회사 스튜디오일공공구,"제작사,배급사,수입사",김종훈
20230131,쇼트케이크(주),"제작사,배급사,수입사",김명진
20192382,(주)태양미디어그룹,"제작사,배급사,수입사,해외세일즈사",신창훈
20242481,주식회사 공정,상영업,공현민
20203781,씨티에스,"배급사,상영업",오원정
20242217,주식회사 버스데이,제작사,조대동
20138015,(주)광대무변,제작사,김명규
20242220,도야 영화,제작사,박희두
20242461,놀가지 프로덕션,제작사,김규민
20174361,사단법인 한국영화인총연합회 대구경북지회,제작사,
20242219,신원필름,배급사,
20242209,주식회사 흥픽쳐스,제작사,이순옥
20242218,식스스트릿,"제작사,공동제작사,제작서비스-기획",이동주
20203601,영화사 삼순,"제작사,배급사",박석영
20217142,제주에스엘(주),제작사,서태수
20242441,겸필름,제작사,
20230124,(주)에스비엠엔이,"제작사,배급사,수입사",서은경
20242383,파란프로스토리,제작사,노홍식
20161166,오마주픽쳐스,"제작사,배급사",이상옥
20110668,원주영상미디어센터,"제작사,배급사,수입사,상영업,미디어센터",서명택
20242422,영화사 필름통,"제작사,공동제작사",차상민
20242421,㈜솔잎이엔티,제작사,서정희
20242401,주식회사 스튜디오 창창,"제작사,공동제작사","김영근, 김형찬"
20229165,영화공작소 가람,제작사,박황춘
20139840,원피스,제작사,강성욱
20242216,(주)스튜디오큐,"제작사,배급사,수입사",윤준호
20110238,(사)한국독립애니메이션협회,"배급사,영화기관/단체-독립",장형윤
20230341,주식회사 도화원엔터테인먼트,제작사,박한열
20169548,(주)인디컴,제작사,이강선
20060455,(주)인디컴,"제작사,수입사",김태영
20242215,변신리,제작사,정건영
20231083,(주)어메이즈브이알코리아,"배급사,수입사","이승준, 윤준식"
20175201,영화사 욜로,제작사,김성훈
20122736,(주)영화사울림,"제작사,배급사",천승철
20242301,(주)제리굿컴퍼니,"제작사,배급사",이정세
20242214,주식회사 피에이치이엔엠,제작사,박병건
20242382,(주)에이컴즈,"제작사,공동제작사,배급사,수입사",이상석
20100068,(주)영화사봄,제작사,오정완
